iter	RMSE
0	1.232391277
1	1.048861286
2	0.9037535734
3	0.7801695289
4	0.7053998444
5	0.6360108856
6	0.58042048
7	0.5522622364
8	0.5075480017
9	0.48551992
10	0.4667775258
11	0.4404172556
12	0.4244251561
13	0.4158207855
14	0.4074717474
15	0.4019786325
16	0.3875209203
17	0.3821129952
18	0.3754586285
19	0.370851496
20	0.3660075445
21	0.3622103899
22	0.3591511351
23	0.354486859
24	0.3504955074
25	0.3487451756
26	0.3447030992
27	0.3421706625
28	0.3394152191
29	0.33729743
30	0.3339643271
31	0.3299435545
32	0.3278455559
33	0.3266387824
34	0.3248221059
35	0.3234471166
36	0.3211571728
37	0.3191567847
38	0.3166491539
39	0.3135139159
40	0.3110935734
41	0.3094584924
42	0.3075074661
43	0.3057621487
44	0.3043270465
45	0.302884445
46	0.3015217035
47	0.2994619662
48	0.2973772396
49	0.2959609513
50	0.2949278797
51	0.292752553
52	0.2912049648
53	0.2900074433
54	0.2882061368
55	0.2871660036
56	0.2857910667
57	0.2840692035
58	0.2824252206
59	0.2808614891
60	0.2799319157
61	0.2791977053
62	0.2780268937
63	0.277226676
64	0.2764747069
65	0.2753204464
66	0.2742928837
67	0.2724685963
68	0.271309693
69	0.2703090584
70	0.2689866507
71	0.2680647475
72	0.2666029973
73	0.2657063854
74	0.2648463981
75	0.2638468621
76	0.2627148838
77	0.2613819613
78	0.2603456131
79	0.2593256754
80	0.2587058308
81	0.257352264
82	0.2565117058
83	0.2556949999
84	0.2545790355
85	0.2539071985
86	0.2533842186
87	0.2525085696
88	0.2514318943
89	0.2504352963
90	0.2492274233
91	0.2483590981
92	0.2473512048
93	0.2466613363
94	0.2459010986
95	0.2448950966
96	0.2444275564
97	0.2433973705
98	0.2425335253
99	0.241923869
100	0.2411925111
101	0.2405618565
102	0.2397474228
103	0.2388368362
104	0.2383374257
105	0.237399154
106	0.2366348872
107	0.2358942348
108	0.2352795535
109	0.2344835296
110	0.2338252437
111	0.2333970794
112	0.2327203628
113	0.2320009711
114	0.2314567381
115	0.2308201997
116	0.2302257359
117	0.2294728239
118	0.2291078062
119	0.22806037
120	0.2271987982
121	0.2267095041
122	0.2259570463
123	0.2257502636
124	0.2252218682
125	0.2249327612
126	0.2241177649
127	0.2233380251
128	0.2228021454
129	0.2222516035
130	0.2219062657
131	0.2212159745
132	0.2204906627
133	0.2202192922
134	0.2194032859
135	0.2189570841
136	0.2183710332
137	0.2177121228
138	0.2173727355
139	0.2168536469
140	0.2166594547
141	0.2160580203
142	0.2154355577
143	0.2150436831
144	0.2143026105
145	0.2136629426
146	0.2130505446
147	0.212696213
148	0.2124210554
149	0.2119389794
150	0.2115559557
151	0.210883458
152	0.2106656394
153	0.2103996158
154	0.2096639593
155	0.2092593226
156	0.2088744687
157	0.2085417345
158	0.2080306941
159	0.2075352879
160	0.2067962309
161	0.206323247
162	0.2058122996
163	0.2055916445
164	0.2051913958
165	0.2045968507
166	0.2040489594
167	0.2035718082
168	0.2030675694
169	0.2025505064
170	0.2020398734
171	0.2017153408
172	0.2013020182
173	0.2006345644
174	0.2002677224
175	0.1996125546
176	0.1991390095
177	0.1988434902
178	0.1982169659
179	0.1979624433
180	0.1973222513
181	0.196980546
182	0.1967694844
183	0.1961634942
184	0.1955745822
185	0.1951794776
186	0.1948956384
187	0.1942988137
188	0.1938497908
189	0.1933900128
190	0.1930785786
191	0.1926811597
192	0.1922118622
193	0.1917272198
194	0.1913195642
195	0.1911798313
196	0.1907247114
197	0.190423966
198	0.1901442973
199	0.1895461512
200	0.1890514282
201	0.1886790146
202	0.1882953084
203	0.1881121087
204	0.1878038332
205	0.1874095769
206	0.1870198045
207	0.1863655741
208	0.1859658605
209	0.1857169128
210	0.1854945666
211	0.1851393085
212	0.18476271
213	0.1842873623
214	0.1838871651
215	0.1833413486
216	0.1827854096
217	0.1823705875
218	0.1818710255
219	0.1815086423
220	0.1811444198
221	0.1808128366
222	0.1802055041
223	0.1796940628
224	0.1794195928
225	0.179066447
226	0.1788026825
227	0.1785396047
228	0.1779432947
229	0.1776399458
230	0.1773675305
231	0.1769976166
232	0.1766095975
233	0.1764321279
234	0.1759909433
235	0.1754292345
236	0.1750922302
237	0.1747848355
238	0.1744870631
239	0.174262615
240	0.1739752375
241	0.1736200693
242	0.1734257272
243	0.1730942496
244	0.1728758023
245	0.1723130382
246	0.1719863337
247	0.1717311364
248	0.1714207081
249	0.171200999
250	0.1710296052
251	0.1708056122
252	0.1706490484
253	0.1703236616
254	0.1700709698
255	0.1696846025
256	0.1694617724
257	0.1692385871
258	0.1689629493
259	0.1683723359
260	0.1679271038
261	0.1675207549
262	0.1671058976
263	0.1667783712
264	0.1664328597
265	0.1661516729
266	0.1659051991
267	0.1655027735
268	0.165316921
269	0.1649741594
270	0.1646371891
271	0.1643161363
272	0.1640587483
273	0.1638169887
274	0.1636678383
275	0.1634842645
276	0.1631406774
277	0.1628048913
278	0.162516364
279	0.1621788857
280	0.1619930541
281	0.1616692956
282	0.1613458888
283	0.1609408209
284	0.1608218473
285	0.1605418701
286	0.1601954922
287	0.160090709
288	0.1596197791
289	0.1594134079
290	0.1590832845
291	0.1587384451
292	0.15845534
293	0.1583132513
294	0.1579758207
295	0.1576648866
296	0.157470226
297	0.1571460542
298	0.1568940331
299	0.1566435062
