iter	Passed	Remaining
0	8	2394
1	15	2252
2	22	2194
3	30	2234
4	37	2216
5	45	2213
6	52	2187
7	59	2185
8	66	2149
9	73	2133
10	80	2107
11	86	2082
12	97	2143
13	105	2163
14	113	2158
15	121	2157
16	128	2139
17	136	2132
18	143	2115
19	148	2085
20	155	2064
21	162	2051
22	169	2040
23	176	2031
24	183	2015
25	190	2006
26	196	1991
27	203	1980
28	210	1968
29	217	1958
30	225	1955
31	232	1946
32	239	1937
33	246	1925
34	253	1921
35	261	1914
36	268	1908
37	275	1899
38	282	1890
39	289	1883
40	296	1872
41	303	1863
42	310	1855
43	317	1847
44	324	1839
45	331	1833
46	339	1825
47	345	1816
48	352	1807
49	359	1799
50	366	1791
51	374	1785
52	381	1776
53	388	1769
54	395	1760
55	402	1755
56	410	1748
57	417	1741
58	424	1732
59	431	1724
60	438	1717
61	444	1707
62	452	1700
63	458	1689
64	465	1683
65	472	1675
66	479	1667
67	486	1658
68	492	1649
69	499	1641
70	506	1632
71	513	1625
72	520	1618
73	527	1609
74	533	1601
75	540	1592
76	547	1585
77	555	1579
78	562	1573
79	569	1567
80	576	1557
81	583	1552
82	590	1545
83	598	1537
84	605	1531
85	612	1524
86	619	1516
87	626	1508
88	632	1500
89	639	1491
90	646	1483
91	653	1477
92	660	1470
93	667	1462
94	674	1454
95	681	1448
96	687	1438
97	694	1430
98	701	1423
99	707	1415
100	714	1408
101	721	1400
102	729	1395
103	736	1387
104	743	1380
105	750	1373
106	757	1366
107	765	1360
108	771	1352
109	778	1344
110	784	1336
111	792	1330
112	799	1322
113	806	1315
114	813	1308
115	819	1300
116	826	1293
117	833	1285
118	840	1278
119	846	1270
120	853	1263
121	860	1255
122	866	1247
123	873	1240
124	880	1232
125	887	1225
126	894	1218
127	900	1210
128	908	1204
129	916	1198
130	925	1194
131	933	1187
132	940	1181
133	948	1174
134	955	1167
135	962	1160
136	970	1154
137	978	1148
138	990	1146
139	998	1141
140	1007	1135
141	1015	1129
142	1023	1123
143	1030	1116
144	1038	1110
145	1045	1102
146	1053	1096
147	1060	1089
148	1067	1082
149	1074	1074
150	1082	1067
151	1089	1060
152	1096	1053
153	1104	1046
154	1112	1040
155	1120	1033
156	1127	1027
157	1136	1021
158	1143	1014
159	1152	1008
160	1159	1000
161	1166	993
162	1173	986
163	1180	978
164	1187	971
165	1194	964
166	1201	956
167	1208	949
168	1215	942
169	1222	934
170	1230	927
171	1237	920
172	1245	914
173	1251	906
174	1258	898
175	1266	892
176	1273	884
177	1280	877
178	1287	870
179	1295	863
180	1302	856
181	1309	849
182	1317	842
183	1324	835
184	1332	828
185	1340	821
186	1348	814
187	1355	807
188	1363	800
189	1370	793
190	1378	786
191	1385	779
192	1392	772
193	1399	764
194	1407	757
195	1414	750
196	1421	743
197	1428	735
198	1435	728
199	1442	721
200	1449	713
201	1456	706
202	1463	699
203	1471	692
204	1478	685
205	1486	678
206	1494	671
207	1501	663
208	1508	656
209	1515	649
210	1523	642
211	1530	635
212	1537	627
213	1544	620
214	1551	613
215	1558	606
216	1565	598
217	1573	591
218	1580	584
219	1590	578
220	1597	570
221	1605	563
222	1612	556
223	1619	549
224	1626	542
225	1633	534
226	1640	527
227	1647	520
228	1654	513
229	1661	505
230	1669	498
231	1676	491
232	1683	484
233	1690	476
234	1697	469
235	1704	462
236	1712	455
237	1718	447
238	1725	440
239	1732	433
240	1739	425
241	1746	418
242	1754	411
243	1760	404
244	1767	396
245	1774	389
246	1782	382
247	1789	375
248	1796	367
249	1803	360
250	1809	353
251	1817	346
252	1823	338
253	1831	331
254	1839	324
255	1846	317
256	1853	310
257	1860	302
258	1867	295
259	1873	288
260	1880	281
261	1887	273
262	1895	266
263	1902	259
264	1909	252
265	1916	244
266	1922	237
267	1930	230
268	1937	223
269	1944	216
270	1950	208
271	1957	201
272	1964	194
273	1971	187
274	1978	179
275	1985	172
276	1991	165
277	1999	158
278	2006	151
279	2013	143
280	2020	136
281	2027	129
282	2034	122
283	2041	115
284	2049	107
285	2055	100
286	2063	93
287	2069	86
288	2077	79
289	2083	71
290	2090	64
291	2097	57
292	2104	50
293	2111	43
294	2118	35
295	2125	28
296	2132	21
297	2139	14
298	2146	7
299	2153	0
